TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
A.32,mn,1+,"MULS.W Rm, Rn",,0010 nnnn mmmm 1111,"Signed, Rn × Rm ? MAC",Rn,Rm,,,,,,,,,,,,,,INC,,,,,,,EX,NOT STALL,MULSW,Y,XBUS,YBUS,,,,,,,,,,,,,,,
A.32,mn,1+,"MULU.W Rm, Rn",,0010 nnnn mmmm 1110,"Unsigned, Rn × Rm ? MAC",Rn,Rm,,,,,,,,,,,,,,INC,,,,,,,EX,NOT STALL,MULUW,Y,XBUS,YBUS,,,,,,,,,,,,,,,
A.32,mn,1,"NEG Rm, Rn",,0110 nnnn mmmm 1011,0–Rm?Rn,0,Rm,,,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"NEGC Rm, Rn",,0110 nnnn mmmm 1010,"0–Rm–T ? Rn, borrow ?T",0,Rm,,,ARITH,CARRY,SUB,,1,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"NOT Rm, Rn",,0110 nnnn mmmm 0111,~Rm?Rn,0,Rm,,,LOGIC,,,,,NOT,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"OR Rm, Rn",,0010 nnnn mmmm 1011,Rn | Rm? Rn,Rn,Rm,,,LOGIC,,,,,OR,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"SUB Rm, Rn",,0011 nnnn mmmm 1000,Rn – Rm ?Rn,Rn,Rm,,,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"SUBC Rm, Rn",,0011 nnnn mmmm 1010,"Rn – Rm–T ?Rn, borrow ? T",Rn,Rm,,,ARITH,CARRY,SUB,,1,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"SUBV Rm, Rn",,0011 nnnn mmmm 1011,"Rn – Rm ? Rn, underflow ?T",Rn,Rm,,,ARITH,ARITH,SUB,OVERUNDERFLOW,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"SWAP.B Rm, Rn",,0110 nnnn mmmm 1000,Rm ? Swap upper and lower halves of lower 2 bytes ? Rn,,Rm,,,MANIP,,,,,,,,swapb,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"SWAP.W Rm, Rn",,0110 nnnn mmmm 1001,Rm ? Swap upper and lower word ? Rn,,Rm,,,MANIP,,,,,,,,swapw,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"TST Rm, Rn",,0010 nnnn mmmm 1000,"Rn & Rm, when result is 0, 1 ? T",Rn,Rm,,,,LOGIC,,,,AND,ZERO,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"XOR Rm, Rn",,0010 nnnn mmmm 1010,Rn ^ Rm? Rn,Rn,Rm,,,LOGIC,,,,,XOR,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.32,mn,1,"XTRACT Rm, Rn ",,0010 nnnn mmmm 1101,Centre 32 bits of Rm and Rn ? Rn,Rn,Rm,,,MANIP,,,,,,,,xtract,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mn,1,"SHAD Rm, Rn",,0100 nnnn mmmm 1100,,Rn,Rm,,,SHIFT,,,,,,,shifta,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mn,1,"SHLD Rm, Rn",,0100 nnnn mmmm 1101,,Rn,Rm,,,SHIFT,,,,,,,shiftl,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.33,nm,1,"MOV.B Rm, @Rn",,0010 nnnn mmmm 0000,Rm ? (Rn),Rn,Rm,,0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,YBUS,ZBUS,,,,
A.33,nm,1,"MOV.W Rm, @Rn",,0010 nnnn mmmm 0001,Rm ? (Rn),Rn,Rm,,0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,16,YBUS,ZBUS,,,,
A.33,nm,1,"MOV.L Rm, @Rn",,0010 nnnn mmmm 0010,Rm ? (Rn),Rn,Rm,,0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
A.33,nm,1,"MOV.B @Rm, Rn",,0110 nnnn mmmm 0000,(Rm) ? sign extension ? Rn,,Rm,,,Y,,,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
A.33,nm,1,"MOV.W @Rm, Rn",,0110 nnnn mmmm 0001,(Rm) ? sign extension ? Rn,,Rm,,,Y,,,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
A.33,nm,1,"MOV.L @Rm, Rn",,0110 nnnn mmmm 0010,(Rm)? Rn,,Rm,,,Y,,,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.34,nm,2,"MAC.L @Rm+, @Rn+",,0000 nnnn mmmm 1111,"Signed, (Rn) × (Rm) + MAC ? MAC",Rn,,,4,ARITH,,ADD,,,,,,,Rn,,HOLD,,,,,,,WB,,,,WBUS,,,,,,,,READ,,32,,XBUS,,,,
,,,"MAC.L @Rm+, @Rn+",,0000 nnnn mmmm 1111,,Rm,,,4,ARITH,,ADD,,,,,,,Rm,,HOLD,,1,,,,,WB,BUSY,MACL,,,WBUS,,,,,,,READ,,32,,XBUS,,,,
,,,"MAC.L @Rm+, @Rn+",,0000 nnnn mmmm 1111,,,,,,,,,,,,,,,,,INC,,,,,,,,BUSY,,,,,,,,,,,,,,,,,,,
A.34,nm,2,"MAC.W @Rm+, @Rn+",,0100 nnnn mmmm 1111,"Signed, (Rn) × (Rm) + MAC ? MAC",Rn,,,2,ARITH,,ADD,,,,,,,Rn,,HOLD,,,,,,,WB,,,,WBUS,,,,,,,,READ,,16,,XBUS,,,,
,,,"MAC.W @Rm+, @Rn+",,0100 nnnn mmmm 1111,,Rm,,,2,ARITH,,ADD,,,,,,,Rm,,INC,,1,,,,,WB,BUSY,MACW,,,WBUS,,,,,,,READ,,16,,XBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.35,nm,2,"MOV.B @Rm+, Rn",,0110 nnnn mmmm 0100,"(Rm) ? sign extension ? Rn, Rm +1 ?Rm",Rm,,,1,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MOV.B @Rm+, Rn",,0110 nnnn mmmm 0100,,Rm,,,1,ARITH,,SUB,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
A.35,nm,2,"MOV.W @Rm+, Rn",,0110 nnnn mmmm 0101,"(Rm) ? sign extension ? Rn, Rm +2 ?Rm",Rm,,,2,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MOV.W @Rm+, Rn",,0110 nnnn mmmm 0101,,Rm,,,2,ARITH,,SUB,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
A.35,nm,2,"MOV.L @Rm+, Rn",,0110 nnnn mmmm 0110,"(Rm) ? Rn, Rm + 4 ? Rm",Rm,,,4,ARITH,,ADD,,,,,,,Rm,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MOV.L @Rm+, Rn",,0110 nnnn mmmm 0110,,Rm,,,4,ARITH,,SUB,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.36,nm,1,"MOV.B Rm,@–Rn",,0010 nnnn mmmm 0100,"Rn – 1 ? Rn, Rm ? (Rn)",Rn,Rm,,1,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,YBUS,ZBUS,,,,
A.36,nm,1,"MOV.W Rm,@–Rn",,0010 nnnn mmmm 0101,"Rn – 2 ? Rn, Rm ? (Rn)",Rn,Rm,,2,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,WRITE,,16,YBUS,ZBUS,,,,
A.36,nm,1,"MOV.L Rm,@–Rn",,0010 nnnn mmmm 0110,"Rn – 4 ? Rn, Rm ? (Rn)",Rn,Rm,,4,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.37,nm,1,"MOV.B Rm, @(R0, Rn)",,0000 nnnn mmmm 0100,Rm?(R0 +Rn),Rn,Rm,,R0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,YBUS,ZBUS,,,,
A.37,nm,1,"MOV.W Rm, @(R0, Rn)",,0000 nnnn mmmm 0101,Rm?(R0 +Rn),Rn,Rm,,R0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,16,YBUS,ZBUS,,,,
A.37,nm,1,"MOV.L Rm, @(R0, Rn)",,0000 nnnn mmmm 0110,Rm?(R0 +Rn),Rn,Rm,,R0,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
A.37,nm,1,"MOV.B @(R0, Rm), Rn",,0000 nnnn mmmm 1100,(R0 +Rm)?sign extension ? Rn,Rm,,,R0,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
A.37,nm,1,"MOV.W @(R0, Rm), Rn",,0000 nnnn mmmm 1101,(R0 +Rm)?sign extension ? Rn,Rm,,,R0,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
A.37,nm,1,"MOV.L @(R0, Rm), Rn",,0000 nnnn mmmm 1110,(R0 +Rm)? Rn,Rm,,,R0,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.38,md,1,"MOV.B @(disp, Rm), R0",,1000 0100 mmmm dddd,(disp + Rm) ? sign extension ? R0,Rm,,,U,ARITH,,ADD,,,,,,,,R0,INC,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
A.38,md,1,"MOV.W @(disp, Rm), R0",,1000 0101 mmmm dddd,(disp ×2 +Rm)? sign extension ? R0,Rm,,,U*2,ARITH,,ADD,,,,,,,,R0,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.39,nd4,1,"MOV.B R0, @(disp, Rn)",,1000 0000 nnnn dddd,R0 ? (disp + Rn),Rn,R0,,U,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,YBUS,ZBUS,,,,
A.39,nd4,1,"MOV.W R0, @(disp, Rn)",,1000 0001 nnnn dddd,R0 ? (disp × 2+ Rn),Rn,R0,,U*2,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,16,YBUS,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.40,nmd,1,"MOV.L Rm, @(disp, Rn)",,0001 nnnn mmmm dddd,Rm ? (disp × 4 + Rn),Rn,Rm,,U*4,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
A.40,nmd,1,"MOV.L @(disp, Rm), Rn",,0101 nnnn mmmm dddd,(disp × 4+ Rm) ? Rn,Rm,,,U*4,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.41,d8,1,"MOV.B R0, @(disp, GBR)",,1100 0000 dddd dddd,R0? (disp + GBR),GBR,R0,,U,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,YBUS,ZBUS,,,,
A.41,d8,1,"MOV.W R0, @(disp, GBR)",,1100 0001 dddd dddd,R0? (disp ×2 + GBR),GBR,R0,,U*2,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,16,YBUS,ZBUS,,,,
A.41,d8,1,"MOV.L R0, @(disp, GBR)",,1100 0010 dddd dddd,R0? (disp ×4 + GBR),GBR,R0,,U*4,ARITH,,ADD,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
A.41,d8,1,"MOV.B @(disp, GBR), R0",,1100 0100 dddd dddd,(disp + GBR) ? sign extension ? R0,GBR,,,U,ARITH,,ADD,,,,,,,,R0,INC,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
A.41,d8,1,"MOV.W @(disp, GBR), R0",,1100 0101 dddd dddd,(disp x2 + GBR) ? sign extension ? R0,GBR,,,U*2,ARITH,,ADD,,,,,,,,R0,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
A.41,d8,1,"MOV.L @(disp, GBR), R0",,1100 0110 dddd dddd,(disp  x4+ GBR) ? sign extension ? R0,GBR,,,U*4,ARITH,,ADD,,,,,,,,R0,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.42,d8,1,"MOVA @(disp, PC), R0",,1100 0111 dddd dddd,disp × 4 + PC ? R0,PC,U*4,FC,,ARITH,,ADD,,,,,,,R0,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.43,d8,3,BF label,,1000 1011 dddd dddd,"When T=0, disp ×2+PC? PC; When T = 1, nop",PC,S*2,,,ARITH,,ADD,,,,,,,NT(PC),,INC,,,,YES,T,,,,,,,,,,,,,,,,,,,,,,
,,,BF label,,1000 1011 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,BF label,,1000 1011 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
A.43,d8,2,BF /S label,,1000 1111 dddd dddd,"When T=0, disp ×2+PC? PC; When T = 1, nop",PC,S*2,,,ARITH,,ADD,,,,,,,NT(PC),,INC,,,,T,T,,,,,,,,,,,,,,,,,,,,,,
,,,BF /S label,,1000 1111 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,YES,,,,,,,,,,,,SET,,,,,,,,,,
A.43,d8,3,BT label,,1000 1001 dddd dddd,"When T=1, disp ×2+PC? PC; When T = 0, nop",PC,S*2,,,ARITH,,ADD,,,,,,,T(PC),,INC,,,,YES,NT,,,,,,,,,,,,,,,,,,,,,,
,,,BT label,,1000 1001 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,BT label,,1000 1001 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
A.43,d8,2,BT /S label,,1000 1101 dddd dddd,"When T=1, disp ×2+PC? PC; When T = 0, nop",PC,S*2,,,ARITH,,ADD,,,,,,,T(PC),,INC,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,
,,,BT /S label,,1000 1101 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,YES,,,,,,,,,,,,SET,,,,,,,,,,
A.44,d12,2,BRA label,,1010 dddd dddd dddd,"Delayed branch, disp × 2+ PC ? PC",PC,S*2,,,ARITH,,ADD,,,,,,,PC,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BRA label,,1010 dddd dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
A.44,d12,2,BSR label,,1011 dddd dddd dddd,"Delayed branching, PC ? PR, disp × 2 + PC ? PC",PC,S*2,,,ARITH,,ADD,,,,,,,PC,,INC,,,RD PC,,,,,,,,,,,,,,,,,,,,,,,,
,,,BSR label,,1011 dddd dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,,,,,,,,,,,,,,SET,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.45,nd8,1,"MOV.W @(disp, PC), Rn",,1001 nnnn dddd dddd,(disp × 2 + PC) ? sign extension ? Rn,PC,U*2,,,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,16,,ZBUS,,,,
A.45,nd8,1,"MOV.L @(disp, PC), Rn",,1101 nnnn dddd dddd,(disp × 4 + PC) ? Rn,PC,U*4,FC,,ARITH,,ADD,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.46,i8,3,"AND.B #imm, @(R0, GBR)",,1100 1101 iiii iiii,(R0 + GBR) & imm ? (R0 + GBR),GBR,R0,,,ARITH,,ADD,,,,,,,,TEMP1,HOLD,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
,,,"AND.B #imm, @(R0, GBR)",,1100 1101 iiii iiii,,GBR,R0,,,ARITH,,ADD,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AND.B #imm, @(R0, GBR)",,1100 1101 iiii iiii,,TEMP1,TEMP0,,U,LOGIC,,,,,AND,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,ZBUS,YBUS,,,,
A.46,i8,3,"OR.B #imm, @(R0, GBR)",,1100 1111 iiii iiii,(R0 + GBR) | imm ? (R0 + GBR),GBR,R0,,,ARITH,,ADD,,,,,,,,TEMP1,HOLD,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
,,,"OR.B #imm, @(R0, GBR)",,1100 1111 iiii iiii,,GBR,R0,,,ARITH,,ADD,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"OR.B #imm, @(R0, GBR)",,1100 1111 iiii iiii,,TEMP1,TEMP0,,U,LOGIC,,,,,OR,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,ZBUS,YBUS,,,,
A.46,i8,3,"TST.B #imm, @(R0, GBR)",,1100 1100 iiii iiii,"(R0 + GBR) & imm, when result is 0, 1 ? T",GBR,R0,,,ARITH,,ADD,,,,,,,,TEMP1,HOLD,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
,,,"TST.B #imm, @(R0, GBR)",,1100 1100 iiii iiii,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"TST.B #imm, @(R0, GBR)",,1100 1100 iiii iiii,,TEMP1,,,U,,LOGIC,,,,AND,ZERO,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.46,i8,3,"XOR.B #imm, @(R0, GBR)",,1100 1110 iiii iiii,(R0 + GBR) ^ imm ? (R0 + GBR),GBR,R0,,,ARITH,,ADD,,,,,,,,TEMP1,HOLD,,,,,,,,,,,,,,,,,,,READ,,8,,ZBUS,,,,
,,,"XOR.B #imm, @(R0, GBR)",,1100 1110 iiii iiii,,GBR,R0,,,ARITH,,ADD,,,,,,,TEMP0,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"XOR.B #imm, @(R0, GBR)",,1100 1110 iiii iiii,,TEMP1,TEMP0,,U,LOGIC,,,,,XOR,,,,,,INC,,,,,,,,,,,,,,,,,,,WRITE,,8,ZBUS,YBUS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.47,i8,1,"AND #imm, R0",,1100 1001 iiii iiii,R0 & imm?R0,R0,U,,,LOGIC,,,,,AND,,,,R0,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.47,i8,1,"CMP /EQ #imm, R0",,1000 1000 iiii iiii,"When R0=imm,1?T",R0,S,,,,LOGIC,,,,XOR,ZERO,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.47,i8,1,"OR #imm, R0",,1100 1011 iiii iiii,R0 | imm?R0,R0,U,,,LOGIC,,,,,OR,,,,R0,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.47,i8,1,"TST #imm, R0",,1100 1000 iiii iiii,"R0 & imm, when result is 0, 1 ? T",R0,U,,,,LOGIC,,,,AND,ZERO,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.47,i8,1,"XOR #imm, R0",,1100 1010 iiii iiii ,R0 ^ imm?R0,R0,U,,,LOGIC,,,,,XOR,,,,R0,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.48,i8,8,TRAPA #imm,,1100 0011 iiii iiii ,"PC/SR ? Stack area, (imm × 4 + VBR) ? PC",R15,SR,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,R15,PC,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,U*4,VBR,,,ARITH,,ADD,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,TRAPA #imm,,1100 0011 iiii iiii ,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
A.49,ni,1,"ADD #imm, Rn",,0111 nnnn iiii iiii,Rn + imm ? Rn,Rn,S,,,ARITH,,ADD,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.49,ni,1,"MOV #imm, Rn",,1110 nnnn iiii iiii,imm ? sign extension ? Rn,,S,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d8,,General Illegal,system,---- -111 dddd dddd,,PC,,,2,ARITH,,SUB,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,General Illegal,system,---- -111 dddd dddd,,R15,SR,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,General Illegal,system,---- -111 dddd dddd,,R15,PC,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,General Illegal,system,---- -111 dddd dddd,,U*4,VBR,,,ARITH,,ADD,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,General Illegal,system,---- -111 dddd dddd,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,General Illegal,system,---- -111 dddd dddd,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,General Illegal,system,---- -111 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,General Illegal,system,---- -111 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d8,,Slot Illegal,system,---- -110 dddd dddd,,PC,,,0,ARITH,,ADD,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,R15,SR,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,R15,PC,,4,ARITH,,SUB,,,,,,,R15,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,U*4,VBR,,,ARITH,,ADD,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,READ,,32,,ZBUS,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,,,,,W,,,,,,,,,PC,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,,,,,,,,,,,,,,,,HOLD,ZBUS,,,YES,,,,,,,,,,,,,,,,,,,,,,,
,,,Slot Illegal,system,---- -110 dddd dddd,,,,,,,,,,,,,,,,,INC,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d8,,Reset CPU,system,---- -011 dddd dddd,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reset CPU,system,---- -011 dddd dddd,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,ack,,,,,,,,,,,,
