TABLE, Format,State,Instruction,Plane,Op Code,Operation,XBUS,YBUS,ALU X,ALU Y,ZBUS SEL,SR,ARITH,ARITH SR,CARRYIN EN,LOGIC,LOGIC SR,SHIFT,MANIP,ZBUS,WBUS,PC,IF ADDY,Latch S_MAC,PR,IF ISSUE,DISPATCH,DEBUG,MAC STAGE,MAC BUSY,MAC OP,MAC STALL SENSE,MACIN_1,MACIN_2,MACH,MACL,EVENT,HALT,DELAY JMP,ILEVEL CAPTURE,MA OP,MA MASK,MA SIZE,MA DATA,MA ADDY,MA LOCK,MASK INT,COPROC CMD,DATA MUX
A.24,n,1,SHLR2 Rn,,0100 nnnn 0000 1001,Rn>>2 ? Rn,Rn,-2,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLL8 Rn,,0100 nnnn 0001 1000,Rn<<8 ? Rn,Rn,8,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLR8 Rn,,0100 nnnn 0001 1001,Rn>>8 ? Rn,Rn,-8,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLL16 Rn,,0100 nnnn 0010 1000,Rn<<16 ? Rn,Rn,16,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.24,n,1,SHLR16 Rn,,0100 nnnn 0010 1001,Rn>>16 ? Rn,Rn,-16,,,SHIFT,,,,,,,SHIFTL,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.25,n,1,"STC SR, Rn",,0000 nnnn 0000 0010,SR?Rn,,SR,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.25,n,1,"STC GBR, Rn",,0000 nnnn 0001 0010,GBR?Rn,,GBR,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.25,n,1,"STC VBR, Rn",,0000 nnnn 0010 0010,VBR?Rn,,VBR,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.25,n,1,"STS MACH, Rn",,0000 nnnn 0000 1010,MACH?Rn,,MACH,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,Y,,,,,,,,,,,,,,,YES,,
A.25,n,1,"STS MACL, Rn",,0000 nnnn 0001 1010,MACL?Rn,,MACL,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,Y,,,,,,,,,,,,,,,YES,,
A.25,n,1,"STS PR, Rn",,0000 nnnn 0010 1010,PR?Rn,,PR,,,Y,,,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.26,n,4,TAS.B @Rn,,0100 nnnn 0001 1011,"When (Rn) is 0, 1 ? T, 1 ? MSB of (Rn)",Rn,,,,,,,,,,,,,,TEMP0,HOLD,,,,,,,,,,,,,,,,,,,READ,,8,,XBUS,Y,,,
,,,TAS.B @Rn,,0100 nnnn 0001 1011,,,,,,,,,,,,,,,,,HOLD,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,,,TAS.B @Rn,,0100 nnnn 0001 1011,,Rn,TEMP0,zero,,MANIP,ARITH,ADD,ZERO,,,,,SET B7,,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,8,ZBUS,XBUS,Y,,,
,,,TAS.B @Rn,,0100 nnnn 0001 1011,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.27,n,2,"STC.L SR, @-Rn",,0100 nnnn 0000 0011,"Rn–4 ?Rn,SR ?(Rn)",Rn,SR,,4,ARITH,,SUB,,,,,,,Rn,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,"STC.L SR, @-Rn",,0100 nnnn 0000 0011,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.27,n,2,"STC.L GBR, @-Rn",,0100 nnnn 0001 0011,"Rn–4 ?Rn,GBR ?(Rn)",Rn,GBR,,4,ARITH,,SUB,,,,,,,Rn,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,"STC.L GBR, @-Rn",,0100 nnnn 0001 0011,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.27,n,2,"STC.L VBR, @-Rn",,0100 nnnn 0010 0011,"Rn – 4 ? Rn, VBR ? (Rn)",Rn,VBR,,4,ARITH,,SUB,,,,,,,Rn,,HOLD,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,,,
,,,"STC.L VBR, @-Rn",,0100 nnnn 0010 0011,,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.27,n,1,"STS.L MACH, @-Rn",,0100 nnnn 0000 0010,"Rn – 4 ? Rn, MACH ? (Rn)",Rn,MACH,,4,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,Y,,,,,,,,,WRITE,,32,YBUS,ZBUS,,YES,,
A.27,n,1,"STS.L MACL, @-Rn",,0100 nnnn 0001 0010,"Rn–4?Rn,MACL?(Rn)",Rn,MACL,,4,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,Y,,,,,,,,,WRITE,,32,YBUS,ZBUS,,YES,,
A.27,n,1,"STS.L PR, @-Rn",,0100 nnnn 0010 0010,"Rn–4?Rn,PR?(Rn)",Rn,PR,,4,ARITH,,SUB,,,,,,,Rn,,INC,,,,,,,,,,,,,,,,,,,WRITE,,32,YBUS,ZBUS,,YES,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"STS CP0_COM, Rn",,0100 nnnn 1100 1000,CP0_COM?Rn,,,,,,,,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,,,,,,,,STS,COPROC
,,,"CSTS CP0_COM, CP0_Rn",,0100 nnnn 1100 1001,CP0_COM?CP0_Rn,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,CSTS,
,,,"STS CPI_COM, Rn",,0000 nnnn 0101 1010,CPI_COM?Rn,,,,,,,,,,,,,,,Rn,INC,,,,,,,,,,,,,,,,,,,,,,,,,,STS,COPROC
,,,"CSTS CPI_COM, CPI_Rn",,1111 nnnn 0000 1101,CPI_COM?CPI_Rn,,,,,,,,,,,,,,,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,CSTS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.28,m,1,"LDC Rm, SR",,0100 mmmm 0000 1110,Rm ? SR,,Rm,,,Y,Z,,,,,,,,SR,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.28,m,1,"LDC, Rm, GBR",,0100 mmmm 0001 1110,Rm ? GBR ,,Rm,,,Y,,,,,,,,,GBR,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.28,m,1,"LDC Rm, VBR",,0100 mmmm 0010 1110,Rm ? VBR ,,Rm,,,Y,,,,,,,,,VBR,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
A.28,m,1,"LDS Rm, MACH",,0100 mmmm 0000 1010,Rm? MACH ,,Rm,,,Y,,,,,,,,,,,INC,,,,,,,EX,,,Y,ZBUS,,LOAD,,,,,,,,,,,,YES,,
A.28,m,1,"LDS Rm, MACL",,0100 mmmm 0001 1010,Rm ? MACL,,Rm,,,Y,,,,,,,,,,,INC,,,,,,,EX,,,Y,,ZBUS,,LOAD,,,,,,,,,,,YES,,
A.28,m,1,"LDS Rm, PR",,0100 mmmm 0010 1010,Rm ? PR,,Rm,,,Y,,,,,,,,,PR,,INC,,,,,,,,,,,,,,,,,,,,,,,,,YES,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.29,m,2,JMP @Rm,,0100 mmmm 0010 1011,Rm ? PC,Rm,,,0,ARITH,,ADD,,,,,,,PC,,INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
